PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked,AgeGroup,FamilySize
1,1,3,Aarav Sharma 1,male,48.3,3,0,19.87,Q,Adult,4
2,1,1,Ananya Rao 2,female,30.3,2,0,83.29,S,Young Adult,3
3,0,1,Rahul Kumar 3,female,39.5,1,0,84.6,C,Adult,2
4,0,3,Priya Reddy 4,male,25.7,0,0,17.4,S,Young Adult,1
5,0,3,Arjun Singh 5,male,34.5,0,0,5.0,S,Young Adult,1
6,0,1,Sneha Patel 6,male,29.6,1,0,88.06,C,Young Adult,2
7,1,1,Vikram Das 7,male,31.4,2,1,86.33,S,Young Adult,4
8,1,3,Meera Nair 8,female,38.3,0,0,15.94,C,Adult,1
9,0,1,Kiran Gupta 9,male,29.6,0,0,87.31,Q,Young Adult,1
10,1,1,Pooja Iyer 10,female,59.3,0,0,104.64,S,Adult,1
11,0,3,Aarav Sharma 11,male,15.9,1,0,6.9,S,Teenager,2
12,0,3,Ananya Rao 12,female,13.0,0,0,7.75,S,Teenager,1
13,1,3,Rahul Kumar 13,female,46.2,0,1,7.01,Q,Adult,2
14,1,1,Priya Reddy 14,male,29.6,0,2,80.56,S,Young Adult,3
15,0,3,Arjun Singh 15,male,38.7,0,1,6.9,S,Adult,2
16,1,1,Sneha Patel 16,male,38.8,0,0,94.51,S,Adult,1
17,0,2,Vikram Das 17,male,29.8,0,0,36.36,C,Young Adult,1
18,0,3,Meera Nair 18,male,17.4,1,0,7.43,S,Teenager,2
19,0,3,Kiran Gupta 19,male,31.1,0,0,5.34,S,Young Adult,1
20,1,3,Pooja Iyer 20,male,20.5,0,2,15.77,Q,Young Adult,3
21,0,3,Aarav Sharma 21,male,43.7,0,0,7.58,S,Adult,1
22,0,3,Ananya Rao 22,male,27.9,0,0,17.06,S,Young Adult,1
23,0,1,Rahul Kumar 23,male,18.4,0,0,86.62,Q,Young Adult,1
24,1,2,Priya Reddy 24,male,25.5,0,0,12.87,S,Young Adult,1
25,0,2,Arjun Singh 25,male,35.8,0,0,37.38,C,Adult,1
